S0102	S0104	S0105	S0106	S0107	S0108	S0111	S0112	S0113	S0115	S0116	S0117	S1504	S1505	S1506	S1511	S1512	S1513	S2904	S2905	S2906	S2911	S2912	S2913	S4304	S4305	S4306	S4311	S4312	S4313
Macrophages M1	0	4.46955576383135e-20	0.0016884657585393	0.00112335592047345	0.00548148509969712	0.0163680958095121	0	0.0023537302794336	0.00267210525911574	0.00411567070607667	0.0125148248245424	0	0	0	0.000452857386208297	0.00547638637804489	9.1499959364306e-20	0	1.08016366731152e-18	0	0.000941614410503464	0	0.00594762488379649	0.00489246506638362	0.00402441504054027	0	0	1.66638338419377e-18	0.00333049285159828	0.000452955992901323
Macrophages M2	0.0341929844922238	0.0158428558825462	0.0107403679544249	0.0124759157056497	0.0028236719588728	0.0224976081845285	0	0.0114210187155421	0.00329445937295706	2.14170721900664e-19	0.013615772207115	1.21993532900385e-18	0	0.019082694759145	0.0177688154633292	0.00422127521181728	0.0340318721890994	0.000284448409279141	0.00252843078560614	0.00949145779681083	0.0113975204002218	0.00337371325921745	0.0145874809138784	0	0.00573398004466629	0.0282904949809868	0.0168474019160457	0.0130124952388769	0.000551766961788848	0.0192038223240961
Mast cells	4.30562537431267e-19	0.00988616946724976	0.00505038276371202	0.00118826619581714	0.00469575153095484	0.00286422176260966	0.00390815231254991	0.00803447174035615	0.0143288961263279	0.00152930071747052	0.00593865722229411	0.00790567967953649	0.0210879507484692	0.0377751667322612	0.0170468398755321	1.05203956867428e-18	0	0.0132243712851623	0.0106361017731838	0.0245315306324811	0.00120952997490353	0.00688884583401039	0.00234845197200002	0.000884583303189929	0.0263156120852669	0.0140641906127964	0.0112037801634904	0.00702094148705871	0.00188137544415031	0.00269521084239665
Megakaryocytes	1.45420746996965e-19	0	7.17918308587589e-05	0	0	0	0.027362304109546	0.0185570095939764	0.000589084335436208	3.19894378851343e-20	0	0.000751746833726561	0.012304510268259	0	0.018067451999214	0.0046067436040268	6.86452062447509e-20	0.00186696037310884	0.00498372930705209	1.13793487880837e-19	0.000139485317358173	0.0014325394547041	0	0.00178955177664462	0.0195616624373237	0.00103597894798223	5.04559520702544e-19	0	0.000652446804260733	1.07442097245862e-20
Melanocytes	0	0.00248011476998293	0	0	0.00597084568164605	0.0062785576450847	5.39497893080796e-21	1.4568955848609e-18	0.00267865479206369	0.00448981376214183	0.00652967650021933	0.00294750449929163	0.00492430995470407	0.0015644382376024	0.00261045442972322	0.000215983680993716	0.00039992197218401	0.00473622189162468	0.00212394751792099	7.67011925675329e-19	0	0	0.00748234430921262	0.00278119905030066	0.00675544426833549	8.685035138695e-06	0.00209205819268626	0.000302298732337394	2.15721170925788e-18	0.00306987057621538
Memory B-cells	0.013430744395141	0.00553593463915748	0.000902111434099631	1.6925518319597e-19	2.7234062069745e-18	0.0115212311062179	1.10699062988433e-18	0.00190342445978184	0.000802199354599705	1.17480941964119e-18	0.00651522653484348	2.01703633704041e-18	0.00840374034720526	0	0	0.00152627214789518	7.50696129746549e-19	0.0153091908108354	0.0278119107197432	0	1.29482941073953e-18	0.00546150815070367	0.00247571710141939	7.88150983350013e-19	0	3.28033626864428e-19	0	2.26874202666575e-20	0	4.55997123047528e-19
MEP	0.0770280497267591	0.0676055901557879	0.101195910608287	0.131533414178337	0.0360226228763189	0.0999678848159288	0.0584358694560128	0.0930440251773005	0.0528652995501366	0.0775329492992021	0.0900548250432428	0.0740985549684717	0.0920925927570169	0.0144071845379504	0.0554926955295014	0.144163910613334	0.0713560412624409	0.0348744708261315	1.13577530982512e-17	0.022731678555581	0.098702345744806	0.065006456318989	0.0523719413176576	0.0874345958294628	0.0721407859978964	0.0771656520940354	0.0239231554728931	0.0412554053490182	0.0867498589362758	0
Mesangial cells	0.0477482065731991	0.051052293429688	1.82558173727915e-19	0.0326865471186913	0.026566296428681	0.0568501024013034	0.0133198851062409	4.08660109412834e-19	0	0.00572480994539807	0.0362535002498801	0.0067436164443731	0.0144626621430917	0.0761895380701572	0.0756067096126766	0.00608792750865736	0.0204027746869016	0.0106517233254969	0	0.0111176519295381	0.000837188658242124	7.03733533846047e-18	0.00108281720369881	5.77523099625253e-18	0.0249184331825023	0	0	6.03254567714954e-19	0.00549895572039752	0.0355275608555756
Monocytes	0.00262433825079701	8.05994420868915e-19	0.00512825646295232	1.70339875019832e-18	0	0.00785133991448864	4.34751602499325e-18	0	9.67211979369689e-19	1.78481024226774e-17	4.74020369331206e-18	1.28876302531083e-17	1.36629275302454e-17	0.00956995501281219	0	1.337642548226e-18	0	0	0.0167875727470998	1.34407764841288e-18	3.08073114986944e-21	2.41487458825241e-19	4.40685266153318e-17	2.02909404398958e-19	1.6120472648764e-18	1.42823653069471e-19	1.53562377506152e-19	6.64910283737834e-18	0	0
MPP	0.00687425398856682	0	0.00916184364785763	0	9.83949873857944e-19	0.0405090428658144	0.00194873827421062	2.23842499910678e-18	0	0	0.0154561088760389	0.00222640147705307	4.8528899601501e-19	0.0289783989826831	0	1.29881392970998e-17	2.24500365199431e-18	0.0459722760159207	0.0305895665735183	0.00119868282632435	1.27111228129772e-18	1.33671363299085e-20	9.1629368587527e-18	0	0.0374042458795917	0.00156270450164748	0.00452146542577036	0.0123870254686894	3.44138448845688e-18	0.0311926953193038
